task,label
0.png,0.0
1.png,0.0
10.png,0.0
100.png,0.0
1000.png,0.0
1001.png,0.0
1002.png,0.0
1003.png,0.0
1004.png,0.0
1005.png,0.0
1006.png,0.0
1007.png,0.0
1008.png,0.0
1009.png,0.0
101.png,0.0
1010.png,0.0
1011.png,0.0
1012.png,0.0
1013.png,0.0
1014.png,1.0
1015.png,0.0
1016.png,0.0
1017.png,0.0
1018.png,0.0
1019.png,0.0
102.png,0.0
1020.png,0.0
1021.png,1.0
1022.png,0.0
1023.png,0.0
1024.png,1.0
1025.png,0.0
1026.png,0.0
1027.png,0.0
1028.png,0.0
1029.png,1.0
103.png,0.0
1030.png,0.0
1031.png,0.0
1032.png,0.0
1033.png,0.0
1034.png,0.0
1035.png,0.0
1036.png,0.0
1037.png,0.0
1038.png,0.0
1039.png,0.0
104.png,0.0
1040.png,1.0
1041.png,0.0
1042.png,0.0
1043.png,0.0
1044.png,0.0
1045.png,0.0
1046.png,1.0
1047.png,0.0
1048.png,0.0
1049.png,0.0
105.png,0.0
1050.png,0.0
1051.png,0.0
1052.png,0.0
1053.png,0.0
1054.png,0.0
1055.png,0.0
1056.png,0.0
1057.png,0.0
1058.png,0.0
1059.png,0.0
106.png,0.0
1060.png,0.0
1061.png,0.0
1062.png,0.0
1063.png,0.0
1064.png,1.0
1065.png,0.0
1066.png,0.0
1067.png,0.0
1068.png,1.0
1069.png,0.0
107.png,0.0
1070.png,0.0
1071.png,1.0
1072.png,0.0
1073.png,0.0
1074.png,0.0
1075.png,0.0
1076.png,0.0
1077.png,0.0
1078.png,0.0
1079.png,0.0
108.png,0.0
1080.png,0.0
1081.png,0.0
1082.png,0.0
1083.png,0.0
1084.png,0.0
1085.png,0.0
1086.png,0.0
1087.png,0.0
1088.png,0.0
1089.png,0.0
109.png,0.0
1090.png,0.0
1091.png,0.0
1092.png,0.0
1093.png,0.0
1094.png,0.0
1095.png,0.0
1096.png,0.0
1097.png,0.0
1098.png,0.0
1099.png,0.0
11.png,0.0
110.png,0.0
1100.png,1.0
1101.png,0.0
1102.png,0.0
1103.png,0.0
1104.png,0.0
1105.png,0.0
1106.png,0.0
1107.png,0.0
1108.png,0.0
1109.png,1.0
111.png,0.0
1110.png,0.0
1111.png,0.0
1112.png,1.0
1113.png,0.0
1114.png,0.0
1115.png,0.0
1116.png,0.0
1117.png,0.0
1118.png,0.0
1119.png,0.0
112.png,0.0
1120.png,0.0
1121.png,0.0
1122.png,0.0
1123.png,0.0
1124.png,0.0
1125.png,0.0
1126.png,0.0
1127.png,0.0
1128.png,1.0
1129.png,0.0
113.png,0.0
1130.png,1.0
1131.png,0.0
1132.png,0.0
1133.png,0.0
1134.png,1.0
1135.png,0.0
1136.png,0.0
1137.png,0.0
1138.png,0.0
1139.png,0.0
114.png,0.0
1140.png,0.0
1141.png,0.0
1142.png,0.0
1143.png,0.0
1144.png,0.0
1145.png,0.0
1146.png,0.0
1147.png,0.0
1148.png,0.0
1149.png,0.0
115.png,0.0
1150.png,0.0
1151.png,0.0
1152.png,0.0
1153.png,0.0
1154.png,0.0
1155.png,0.0
1156.png,0.0
1157.png,0.0
1158.png,0.0
1159.png,0.0
116.png,0.0
1160.png,0.0
1161.png,1.0
1162.png,0.0
1163.png,0.0
1164.png,0.0
1165.png,0.0
1166.png,0.0
1167.png,0.0
1168.png,0.0
1169.png,0.0
117.png,0.0
1170.png,0.0
1171.png,0.0
1172.png,1.0
1173.png,0.0
1174.png,0.0
1175.png,0.0
1176.png,0.0
1177.png,0.0
1178.png,0.0
1179.png,0.0
118.png,0.0
1180.png,0.0
1181.png,0.0
1182.png,0.0
1183.png,0.0
1184.png,0.0
1185.png,0.0
1186.png,0.0
1187.png,0.0
1188.png,0.0
1189.png,1.0
119.png,0.0
1190.png,0.0
1191.png,1.0
1192.png,0.0
1193.png,0.0
1194.png,0.0
1195.png,0.0
1196.png,0.0
1197.png,0.0
1198.png,0.0
1199.png,0.0
12.png,0.0
120.png,0.0
1200.png,0.0
1201.png,0.0
1202.png,0.0
1203.png,0.0
1204.png,0.0
1205.png,0.0
1206.png,0.0
1207.png,0.0
1208.png,0.0
1209.png,0.0
121.png,0.0
1210.png,0.0
1211.png,0.0
1212.png,0.0
1213.png,0.0
1214.png,1.0
1215.png,1.0
1216.png,0.0
1217.png,0.0
1218.png,0.0
1219.png,0.0
122.png,1.0
1220.png,0.0
1221.png,0.0
1222.png,1.0
1223.png,0.0
1224.png,1.0
1225.png,0.0
1226.png,1.0
1227.png,1.0
1228.png,0.0
1229.png,1.0
123.png,0.0
1230.png,0.0
1231.png,0.0
1232.png,0.0
1233.png,0.0
1234.png,0.0
1235.png,0.0
1236.png,1.0
1237.png,0.0
1238.png,0.0
1239.png,0.0
124.png,0.0
1240.png,0.0
1241.png,0.0
1242.png,0.0
1243.png,0.0
1244.png,0.0
1245.png,0.0
1246.png,0.0
1247.png,0.0
1248.png,0.0
1249.png,0.0
125.png,0.0
1250.png,0.0
1251.png,0.0
1252.png,0.0
1253.png,0.0
1254.png,0.0
1255.png,0.0
1256.png,0.0
1257.png,0.0
1258.png,0.0
1259.png,0.0
126.png,1.0
1260.png,0.0
1261.png,0.0
1262.png,1.0
1263.png,0.0
1264.png,0.0
1265.png,0.0
1266.png,0.0
1267.png,0.0
1268.png,0.0
1269.png,0.0
127.png,0.0
1270.png,0.0
1271.png,0.0
1272.png,0.0
1273.png,0.0
1274.png,0.0
1275.png,0.0
1276.png,0.0
1277.png,0.0
1278.png,0.0
1279.png,0.0
128.png,0.0
1280.png,0.0
1281.png,0.0
1282.png,0.0
1283.png,0.0
1284.png,0.0
1285.png,0.0
1286.png,0.0
1287.png,0.0
1288.png,0.0
1289.png,0.0
129.png,0.0
1290.png,0.0
1291.png,0.0
1292.png,0.0
1293.png,0.0
1294.png,0.0
1295.png,0.0
1296.png,0.0
1297.png,0.0
1298.png,0.0
1299.png,0.0
13.png,0.0
130.png,0.0
1300.png,0.0
1301.png,1.0
1302.png,0.0
1303.png,1.0
1304.png,0.0
1305.png,0.0
1306.png,0.0
1307.png,0.0
1308.png,0.0
1309.png,1.0
131.png,0.0
1310.png,1.0
1311.png,0.0
1312.png,0.0
1313.png,0.0
1314.png,0.0
1315.png,0.0
1316.png,0.0
1317.png,0.0
1318.png,1.0
1319.png,0.0
132.png,1.0
1320.png,0.0
1321.png,0.0
1322.png,0.0
1323.png,0.0
1324.png,1.0
1325.png,0.0
1326.png,0.0
1327.png,0.0
1328.png,0.0
1329.png,0.0
133.png,0.0
1330.png,0.0
1331.png,0.0
1332.png,0.0
1333.png,0.0
1334.png,0.0
1335.png,0.0
1336.png,0.0
1337.png,0.0
1338.png,0.0
1339.png,0.0
134.png,0.0
1340.png,0.0
1341.png,0.0
1342.png,0.0
1343.png,0.0
1344.png,0.0
1345.png,0.0
1346.png,0.0
1347.png,0.0
1348.png,0.0
1349.png,0.0
135.png,0.0
1350.png,0.0
1351.png,0.0
1352.png,1.0
1353.png,1.0
1354.png,0.0
1355.png,0.0
1356.png,0.0
1357.png,1.0
1358.png,0.0
1359.png,0.0
136.png,0.0
1360.png,0.0
1361.png,0.0
1362.png,0.0
1363.png,0.0
1364.png,0.0
1365.png,0.0
1366.png,0.0
1367.png,1.0
1368.png,0.0
1369.png,0.0
137.png,0.0
1370.png,0.0
1371.png,1.0
1372.png,0.0
1373.png,1.0
1374.png,0.0
1375.png,0.0
1376.png,0.0
1377.png,0.0
1378.png,0.0
1379.png,0.0
138.png,1.0
1380.png,0.0
1381.png,1.0
1382.png,0.0
1383.png,0.0
1384.png,0.0
1385.png,0.0
1386.png,0.0
1387.png,0.0
1388.png,0.0
1389.png,0.0
139.png,0.0
1390.png,0.0
1391.png,0.0
1392.png,0.0
1393.png,0.0
1394.png,0.0
1395.png,0.0
1396.png,0.0
1397.png,0.0
1398.png,0.0
1399.png,0.0
14.png,0.0
140.png,0.0
1400.png,0.0
1401.png,0.0
1402.png,0.0
1403.png,1.0
1404.png,0.0
1405.png,1.0
1406.png,0.0
1407.png,0.0
1408.png,0.0
1409.png,1.0
141.png,0.0
1410.png,0.0
1411.png,0.0
1412.png,0.0
1413.png,0.0
1414.png,0.0
1415.png,0.0
1416.png,0.0
1417.png,0.0
1418.png,1.0
1419.png,0.0
142.png,0.0
1420.png,0.0
1421.png,0.0
1422.png,0.0
1423.png,0.0
1424.png,0.0
1425.png,0.0
1426.png,0.0
1427.png,0.0
1428.png,0.0
1429.png,0.0
143.png,0.0
1430.png,0.0
1431.png,0.0
1432.png,0.0
1433.png,1.0
1434.png,0.0
1435.png,0.0
1436.png,0.0
1437.png,0.0
1438.png,0.0
1439.png,0.0
144.png,0.0
1440.png,0.0
1441.png,0.0
1442.png,0.0
1443.png,0.0
1444.png,0.0
1445.png,0.0
1446.png,0.0
1447.png,0.0
1448.png,0.0
1449.png,0.0
145.png,0.0
1450.png,0.0
1451.png,0.0
1452.png,0.0
1453.png,0.0
1454.png,0.0
1455.png,0.0
1456.png,0.0
1457.png,0.0
1458.png,0.0
1459.png,0.0
146.png,0.0
1460.png,0.0
1461.png,0.0
1462.png,1.0
1463.png,0.0
1464.png,0.0
1465.png,0.0
1466.png,0.0
1467.png,0.0
1468.png,0.0
1469.png,0.0
147.png,0.0
1470.png,0.0
1471.png,0.0
1472.png,0.0
1473.png,0.0
1474.png,0.0
1475.png,0.0
1476.png,0.0
1477.png,0.0
1478.png,0.0
1479.png,0.0
148.png,0.0
1480.png,0.0
1481.png,0.0
1482.png,0.0
1483.png,1.0
1484.png,0.0
1485.png,0.0
1486.png,0.0
1487.png,0.0
1488.png,0.0
1489.png,0.0
149.png,0.0
1490.png,0.0
1491.png,0.0
1492.png,0.0
1493.png,0.0
1494.png,0.0
1495.png,0.0
1496.png,0.0
1497.png,0.0
1498.png,0.0
1499.png,0.0
15.png,0.0
150.png,0.0
1500.png,1.0
1501.png,1.0
1502.png,0.0
1503.png,1.0
1504.png,0.0
1505.png,0.0
1506.png,0.0
1507.png,0.0
1508.png,0.0
1509.png,0.0
151.png,0.0
1510.png,0.0
1511.png,0.0
1512.png,0.0
1513.png,1.0
1514.png,0.0
1515.png,0.0
1516.png,1.0
1517.png,0.0
1518.png,0.0
1519.png,0.0
152.png,0.0
1520.png,0.0
1521.png,0.0
1522.png,0.0
1523.png,0.0
1524.png,0.0
1525.png,1.0
1526.png,1.0
1527.png,0.0
1528.png,0.0
1529.png,0.0
153.png,0.0
1530.png,0.0
1531.png,0.0
1532.png,1.0
1533.png,0.0
1534.png,0.0
1535.png,0.0
1536.png,0.0
1537.png,0.0
1538.png,0.0
1539.png,0.0
154.png,0.0
1540.png,0.0
1541.png,0.0
1542.png,0.0
1543.png,0.0
1544.png,0.0
1545.png,0.0
1546.png,0.0
1547.png,0.0
1548.png,0.0
1549.png,0.0
155.png,0.0
1550.png,0.0
1551.png,0.0
1552.png,0.0
1553.png,0.0
1554.png,0.0
1555.png,0.0
1556.png,0.0
1557.png,0.0
1558.png,0.0
1559.png,1.0
156.png,0.0
1560.png,0.0
1561.png,0.0
1562.png,0.0
1563.png,1.0
1564.png,0.0
1565.png,0.0
1566.png,0.0
1567.png,0.0
1568.png,0.0
1569.png,0.0
157.png,0.0
1570.png,0.0
1571.png,0.0
1572.png,0.0
1573.png,0.0
1574.png,0.0
1575.png,0.0
1576.png,0.0
1577.png,0.0
1578.png,0.0
1579.png,0.0
158.png,0.0
1580.png,0.0
1581.png,0.0
1582.png,0.0
1583.png,0.0
1584.png,0.0
1585.png,0.0
1586.png,1.0
1587.png,0.0
1588.png,0.0
1589.png,1.0
159.png,0.0
1590.png,0.0
1591.png,0.0
1592.png,0.0
1593.png,1.0
1594.png,0.0
1595.png,0.0
1596.png,0.0
1597.png,0.0
1598.png,0.0
1599.png,0.0
16.png,0.0
160.png,0.0
1600.png,0.0
1601.png,0.0
1602.png,0.0
1603.png,0.0
1604.png,0.0
1605.png,0.0
1606.png,0.0
1607.png,1.0
1608.png,0.0
1609.png,0.0
161.png,0.0
1610.png,0.0
1611.png,0.0
1612.png,0.0
1613.png,0.0
1614.png,0.0
1615.png,0.0
1616.png,0.0
1617.png,0.0
1618.png,0.0
1619.png,0.0
162.png,0.0
1620.png,0.0
1621.png,0.0
1622.png,0.0
1623.png,0.0
1624.png,0.0
1625.png,0.0
1626.png,0.0
1627.png,0.0
1628.png,0.0
1629.png,0.0
163.png,0.0
1630.png,0.0
1631.png,0.0
1632.png,1.0
1633.png,0.0
1634.png,0.0
1635.png,1.0
1636.png,0.0
1637.png,0.0
1638.png,0.0
1639.png,0.0
164.png,0.0
1640.png,0.0
1641.png,0.0
1642.png,0.0
1643.png,1.0
1644.png,0.0
1645.png,0.0
1646.png,0.0
1647.png,0.0
1648.png,0.0
1649.png,0.0
165.png,0.0
1650.png,0.0
1651.png,0.0
1652.png,1.0
1653.png,1.0
1654.png,0.0
1655.png,1.0
1656.png,0.0
1657.png,0.0
1658.png,0.0
1659.png,0.0
166.png,0.0
1660.png,0.0
1661.png,0.0
1662.png,0.0
1663.png,0.0
1664.png,0.0
1665.png,0.0
1666.png,0.0
1667.png,0.0
1668.png,0.0
1669.png,0.0
167.png,0.0
1670.png,1.0
1671.png,0.0
1672.png,0.0
1673.png,0.0
1674.png,0.0
1675.png,0.0
1676.png,0.0
1677.png,1.0
1678.png,0.0
1679.png,0.0
168.png,0.0
1680.png,0.0
1681.png,0.0
1682.png,0.0
1683.png,0.0
1684.png,0.0
1685.png,0.0
1686.png,0.0
1687.png,0.0
1688.png,0.0
1689.png,0.0
169.png,0.0
1690.png,0.0
1691.png,1.0
1692.png,0.0
1693.png,0.0
1694.png,0.0
1695.png,0.0
1696.png,0.0
1697.png,0.0
1698.png,0.0
1699.png,0.0
17.png,0.0
170.png,0.0
1700.png,0.0
1701.png,0.0
1702.png,0.0
1703.png,0.0
1704.png,0.0
1705.png,0.0
1706.png,0.0
1707.png,0.0
1708.png,0.0
1709.png,0.0
171.png,0.0
1710.png,1.0
1711.png,1.0
1712.png,0.0
1713.png,0.0
1714.png,0.0
1715.png,0.0
1716.png,0.0
1717.png,0.0
1718.png,0.0
1719.png,0.0
172.png,0.0
1720.png,0.0
1721.png,0.0
1722.png,0.0
1723.png,0.0
1724.png,0.0
1725.png,0.0
1726.png,0.0
1727.png,0.0
1728.png,0.0
1729.png,0.0
173.png,0.0
1730.png,0.0
1731.png,0.0
1732.png,1.0
1733.png,0.0
1734.png,0.0
1735.png,0.0
1736.png,0.0
1737.png,0.0
1738.png,1.0
1739.png,0.0
174.png,0.0
1740.png,0.0
1741.png,0.0
1742.png,0.0
1743.png,0.0
1744.png,0.0
1745.png,1.0
1746.png,0.0
1747.png,0.0
1748.png,0.0
1749.png,0.0
175.png,0.0
1750.png,0.0
1751.png,0.0
1752.png,0.0
1753.png,0.0
1754.png,0.0
1755.png,1.0
1756.png,0.0
1757.png,0.0
1758.png,0.0
1759.png,0.0
176.png,0.0
1760.png,0.0
1761.png,0.0
1762.png,0.0
1763.png,0.0
1764.png,0.0
1765.png,0.0
1766.png,0.0
1767.png,0.0
1768.png,0.0
1769.png,0.0
177.png,0.0
1770.png,0.0
1771.png,0.0
1772.png,1.0
1773.png,0.0
1774.png,0.0
1775.png,0.0
1776.png,0.0
1777.png,0.0
1778.png,1.0
1779.png,0.0
178.png,0.0
1780.png,0.0
1781.png,0.0
1782.png,0.0
1783.png,0.0
1784.png,0.0
1785.png,0.0
1786.png,0.0
1787.png,0.0
1788.png,0.0
1789.png,0.0
179.png,0.0
1790.png,0.0
1791.png,0.0
1792.png,0.0
1793.png,0.0
1794.png,0.0
1795.png,0.0
1796.png,0.0
1797.png,0.0
1798.png,0.0
1799.png,0.0
18.png,0.0
180.png,1.0
1800.png,0.0
1801.png,0.0
1802.png,0.0
1803.png,0.0
1804.png,0.0
1805.png,0.0
1806.png,0.0
1807.png,0.0
1808.png,1.0
1809.png,0.0
181.png,0.0
1810.png,0.0
1811.png,1.0
1812.png,0.0
1813.png,0.0
1814.png,0.0
1815.png,0.0
1816.png,0.0
1817.png,0.0
1818.png,0.0
1819.png,0.0
182.png,0.0
1820.png,0.0
1821.png,0.0
1822.png,0.0
1823.png,0.0
1824.png,0.0
1825.png,0.0
1826.png,1.0
1827.png,0.0
1828.png,0.0
1829.png,0.0
183.png,0.0
1830.png,0.0
1831.png,0.0
1832.png,1.0
1833.png,0.0
1834.png,0.0
1835.png,0.0
1836.png,0.0
1837.png,0.0
1838.png,0.0
1839.png,0.0
184.png,0.0
1840.png,0.0
1841.png,0.0
1842.png,0.0
1843.png,1.0
1844.png,0.0
1845.png,0.0
1846.png,0.0
1847.png,0.0
1848.png,0.0
1849.png,1.0
185.png,0.0
1850.png,0.0
1851.png,0.0
1852.png,0.0
1853.png,0.0
1854.png,1.0
1855.png,0.0
1856.png,0.0
1857.png,0.0
1858.png,0.0
1859.png,0.0
186.png,0.0
1860.png,0.0
1861.png,0.0
1862.png,0.0
1863.png,0.0
1864.png,0.0
1865.png,0.0
1866.png,0.0
1867.png,0.0
1868.png,0.0
1869.png,0.0
187.png,0.0
1870.png,0.0
1871.png,0.0
1872.png,1.0
1873.png,0.0
1874.png,0.0
1875.png,0.0
1876.png,0.0
1877.png,0.0
1878.png,1.0
1879.png,0.0
188.png,0.0
1880.png,0.0
1881.png,0.0
1882.png,1.0
1883.png,0.0
1884.png,0.0
1885.png,1.0
1886.png,0.0
1887.png,0.0
1888.png,0.0
1889.png,1.0
189.png,0.0
1890.png,0.0
1891.png,0.0
1892.png,0.0
1893.png,0.0
1894.png,0.0
1895.png,0.0
1896.png,0.0
1897.png,0.0
